,repo_id,actor_count,year_month,community
0,65711522,15,2016-11,Paddle
1,73922086,1,2016-12,
2,75912778,1,2016-12,
3,75261722,1,2016-12,
4,76994289,1,2016-12,
5,75804012,3,2016-12,
6,76616099,10,2016-12,
7,65711522,39,2016-12,Paddle
8,78274119,1,2017-01,
9,76616099,8,2017-01,
10,65711522,24,2017-01,Paddle
11,76616099,12,2017-02,
12,65711522,17,2017-02,Paddle
13,78517160,2,2017-03,
14,76616099,21,2017-03,
15,65711522,21,2017-03,Paddle
16,78517160,1,2017-04,
17,88868842,1,2017-04,models
18,89484677,2,2017-04,
19,88829446,2,2017-04,
20,88800008,3,2017-04,
21,76616099,13,2017-04,
22,65711522,20,2017-04,Paddle
23,88800008,2,2017-05,
24,89484677,3,2017-05,
25,76616099,10,2017-05,
26,88868842,15,2017-05,models
27,65711522,29,2017-05,Paddle
28,93210289,2,2017-06,
29,89484677,3,2017-06,
30,76616099,6,2017-06,
31,88868842,11,2017-06,models
32,65711522,29,2017-06,Paddle
33,93210289,2,2017-07,
34,98599362,2,2017-07,
35,79296035,2,2017-07,
36,89484677,4,2017-07,
37,76616099,9,2017-07,
38,88868842,11,2017-07,models
39,65711522,27,2017-07,Paddle
40,93210289,1,2017-08,
41,99488243,1,2017-08,
42,79296035,1,2017-08,
43,98356563,1,2017-08,
44,98599362,2,2017-08,
45,76616099,2,2017-08,
46,101101544,3,2017-08,
47,88868842,8,2017-08,models
48,89484677,8,2017-08,
49,65711522,30,2017-08,Paddle
50,98599362,2,2017-09,
51,79296035,2,2017-09,
52,101101544,2,2017-09,
53,89484677,2,2017-09,
54,103466347,4,2017-09,
55,88868842,16,2017-09,models
56,76616099,16,2017-09,
57,65711522,41,2017-09,Paddle
58,88800008,1,2017-10,
59,98356563,1,2017-10,
60,105948868,2,2017-10,
61,103829150,2,2017-10,
62,101101544,2,2017-10,
63,76616099,2,2017-10,
64,98599362,4,2017-10,
65,103466347,6,2017-10,
66,89484677,7,2017-10,
67,88868842,8,2017-10,models
68,65711522,39,2017-10,Paddle
69,105948868,1,2017-11,
70,98356563,1,2017-11,
71,101101544,2,2017-11,
72,109658668,3,2017-11,
73,110688239,4,2017-11,
74,103466347,4,2017-11,
75,98599362,5,2017-11,
76,76616099,5,2017-11,
77,89484677,6,2017-11,
78,88868842,16,2017-11,models
79,65711522,47,2017-11,Paddle
80,105948868,1,2017-12,
81,88829446,1,2017-12,
82,75261722,2,2017-12,
83,101101544,2,2017-12,
84,89484677,2,2017-12,
85,110688239,3,2017-12,
86,103466347,4,2017-12,
87,88800008,4,2017-12,
88,76616099,5,2017-12,
89,114885555,5,2017-12,
90,98599362,6,2017-12,
91,88868842,9,2017-12,models
92,65711522,43,2017-12,Paddle
93,93210289,1,2018-01,
94,110688239,1,2018-01,
95,75261722,1,2018-01,
96,105948868,1,2018-01,
97,76616099,2,2018-01,
98,101101544,2,2018-01,
99,98599362,2,2018-01,
100,103466347,2,2018-01,
101,109658668,3,2018-01,
102,89484677,7,2018-01,
103,114885555,10,2018-01,
104,88868842,18,2018-01,models
105,65711522,45,2018-01,Paddle
106,76616099,3,2018-02,
107,110688239,3,2018-02,
108,101101544,3,2018-02,
109,114885555,5,2018-02,
110,103466347,5,2018-02,
111,89484677,7,2018-02,
112,88868842,16,2018-02,models
113,65711522,40,2018-02,Paddle
114,103466347,3,2018-03,
115,125206311,3,2018-03,
116,110688239,3,2018-03,
117,114885555,4,2018-03,
118,101101544,4,2018-03,
119,76616099,5,2018-03,
120,89484677,7,2018-03,
121,123634214,7,2018-03,
122,88868842,25,2018-03,models
123,65711522,59,2018-03,Paddle
124,98356563,1,2018-04,
125,131044128,1,2018-04,
126,89484677,1,2018-04,
127,127693333,1,2018-04,
128,110688239,2,2018-04,
129,101101544,2,2018-04,
130,76616099,3,2018-04,
131,103466347,4,2018-04,
132,123634214,4,2018-04,
133,127058653,4,2018-04,
134,114885555,4,2018-04,
135,98599362,4,2018-04,
136,125206311,4,2018-04,
137,104208128,5,2018-04,
138,88868842,33,2018-04,models
139,65711522,57,2018-04,Paddle
140,88829446,1,2018-05,
141,98599362,1,2018-05,
142,110688239,1,2018-05,
143,89484677,1,2018-05,
144,123634214,2,2018-05,
145,103466347,2,2018-05,
146,101101544,2,2018-05,
147,127693333,3,2018-05,
148,125206311,3,2018-05,
149,114885555,3,2018-05,
150,127058653,4,2018-05,
151,131044128,4,2018-05,
152,76616099,5,2018-05,
153,104208128,6,2018-05,
154,133907444,7,2018-05,
155,88868842,22,2018-05,models
156,65711522,58,2018-05,Paddle
157,110688239,2,2018-06,
158,89484677,2,2018-06,
159,127058653,2,2018-06,
160,114885555,2,2018-06,
161,137793455,3,2018-06,
162,103466347,3,2018-06,
163,131044128,3,2018-06,
164,125206311,3,2018-06,
165,123634214,3,2018-06,
166,127693333,5,2018-06,
167,76616099,6,2018-06,
168,104208128,9,2018-06,
169,136450404,12,2018-06,
170,133907444,15,2018-06,
171,88868842,23,2018-06,models
172,65711522,52,2018-06,Paddle
173,125206311,2,2018-07,
174,137793455,3,2018-07,
175,114885555,3,2018-07,
176,123634214,3,2018-07,
177,136450404,5,2018-07,
178,76616099,6,2018-07,
179,103466347,6,2018-07,
180,127693333,6,2018-07,
181,139537415,10,2018-07,
182,104208128,13,2018-07,
183,133907444,14,2018-07,
184,88868842,19,2018-07,models
185,65711522,44,2018-07,Paddle
186,139537415,1,2018-08,
187,93210289,1,2018-08,
188,127058653,1,2018-08,
189,131044128,1,2018-08,
190,125206311,1,2018-08,
191,101101544,2,2018-08,
192,114885555,3,2018-08,
193,123634214,3,2018-08,
