,repo_id,contributor_count,community
0,65711522,1157,Paddle
1,136450404,569,
2,88868842,381,models
3,262296122,285,PaddleOCR
4,336274588,280,PaddleNLP
5,104208128,215,
6,217475193,196,PaddleDetection
7,296268741,175,
8,204380779,164,PaddleSeg
9,173032424,142,
10,110688239,138,
11,76616099,137,
12,251201169,110,
13,161509700,99,
14,383138186,97,
15,507861208,86,FastDeploy
16,240226378,81,
17,162672577,78,PaddleHub
18,261698998,75,
19,259513732,75,
20,475341715,73,
21,178685945,62,
22,127693333,61,
23,133907444,61,
24,233520812,60,
25,426046572,60,
26,312259012,60,
27,127058653,58,
28,228290594,58,PaddleSlim
29,227347371,58,
30,131044128,57,
31,273214029,56,PaddleGAN
32,246509073,55,
33,173544440,53,
34,662392605,52,
35,210873203,48,
36,191286408,47,
37,114885555,41,
38,314704349,41,
39,513813137,38,
40,164796418,35,
41,89484677,33,
42,436903861,32,
43,240230342,30,
44,203514079,29,
45,493152580,28,
46,103466347,27,
47,123634214,27,
48,608649692,27,
49,365999954,26,
50,250154445,25,
51,321995806,21,
52,513505410,21,
53,244790548,20,
54,427252454,19,
55,622926337,19,
56,515526146,19,
57,98599362,18,
58,228297846,17,
59,333611338,17,
60,274012656,16,
61,423716718,15,
62,196743910,15,
63,596560396,15,
64,562479767,15,
65,385199026,15,
66,685099320,14,
67,243677660,14,
68,469388758,13,
69,125206311,13,
70,227880026,13,
71,276845708,12,
72,101101544,12,
73,583199561,11,
74,139537415,11,
75,75261722,10,
76,210520127,10,
77,566237024,10,
78,79296035,10,
79,403829741,9,
80,259220361,8,
81,203899406,8,
82,566306389,7,
83,264782838,7,
84,93210289,7,
85,520095016,7,
86,580415405,6,
87,225549581,6,
88,109658668,6,
89,88829446,6,
90,105948868,6,
91,88800008,6,
92,171811851,6,
93,98356563,5,
94,189339212,4,
95,319575342,4,
96,75912778,4,
97,203736612,4,
98,103829150,3,
99,289874518,3,
100,78517160,3,
101,490292598,3,
102,137793455,3,
103,74427002,3,
104,75804012,3,
105,179445887,2,
106,97277251,2,
107,74649018,2,
108,224622052,2,
109,302509341,2,
110,78274119,2,
111,197501786,1,
112,76994289,1,
113,73922086,1,
114,99488243,1,
