,repo_id,forks,year_month,community
0,65711522,41,2016-11,Paddle
1,73922086,1,2016-11,
2,74427002,1,2016-11,
3,74094333,0,2016-11,
4,74649018,0,2016-11,
5,74094673,0,2016-11,
6,65711522,88,2016-12,Paddle
7,76616099,14,2016-12,
8,75261722,3,2016-12,
9,75912778,2,2016-12,
10,75804012,1,2016-12,
11,73922086,1,2016-12,
12,76994289,0,2016-12,
13,74649018,0,2016-12,
14,65711522,80,2017-01,Paddle
15,76616099,28,2017-01,
16,78517160,1,2017-01,
17,78274119,1,2017-01,
18,79296035,0,2017-01,
19,73922086,0,2017-01,
20,76994289,0,2017-01,
21,76616099,107,2017-02,
22,65711522,83,2017-02,Paddle
23,79296035,1,2017-02,
24,75912778,0,2017-02,
25,65711522,70,2017-03,Paddle
26,76616099,64,2017-03,
27,74427002,0,2017-03,
28,78517160,0,2017-03,
29,65711522,63,2017-04,Paddle
30,76616099,34,2017-04,
31,88868842,6,2017-04,models
32,89484677,4,2017-04,
33,88829446,3,2017-04,
34,88800008,2,2017-04,
35,79296035,2,2017-04,
36,75261722,0,2017-04,
37,78517160,0,2017-04,
38,78274119,0,2017-04,
39,65711522,64,2017-05,Paddle
40,76616099,22,2017-05,
41,88868842,15,2017-05,models
42,89484677,3,2017-05,
43,91212498,1,2017-05,
44,78517160,1,2017-05,
45,88800008,0,2017-05,
46,92895339,0,2017-05,
47,65711522,36,2017-06,Paddle
48,76616099,26,2017-06,
49,88868842,10,2017-06,models
50,79296035,2,2017-06,
51,93210289,2,2017-06,
52,75912778,1,2017-06,
53,89484677,0,2017-06,
54,65711522,77,2017-07,Paddle
55,76616099,41,2017-07,
56,88868842,12,2017-07,models
57,79296035,2,2017-07,
58,98599362,2,2017-07,
59,89484677,1,2017-07,
60,75912778,1,2017-07,
61,88829446,0,2017-07,
62,97277251,0,2017-07,
63,93210289,0,2017-07,
64,91212498,0,2017-07,
65,78274119,0,2017-07,
66,74427002,0,2017-07,
67,98356563,0,2017-07,
68,65711522,41,2017-08,Paddle
69,76616099,23,2017-08,
70,88868842,13,2017-08,models
71,101101544,9,2017-08,
72,89484677,5,2017-08,
73,79296035,1,2017-08,
74,98356563,1,2017-08,
75,98599362,0,2017-08,
76,99488243,0,2017-08,
77,74427002,0,2017-08,
78,100269620,0,2017-08,
79,93210289,0,2017-08,
80,65711522,81,2017-09,Paddle
81,76616099,44,2017-09,
82,88868842,25,2017-09,models
83,98356563,4,2017-09,
84,89484677,2,2017-09,
85,101101544,1,2017-09,
86,103829150,1,2017-09,
87,103466347,1,2017-09,
88,79296035,1,2017-09,
89,98599362,0,2017-09,
90,76994289,0,2017-09,
91,103457348,0,2017-09,
92,103829244,0,2017-09,
93,65711522,45,2017-10,Paddle
94,76616099,32,2017-10,
95,88868842,8,2017-10,models
96,98599362,4,2017-10,
97,89484677,2,2017-10,
98,103829150,2,2017-10,
99,98356563,1,2017-10,
100,88800008,0,2017-10,
101,93210289,0,2017-10,
102,105948868,0,2017-10,
103,103466347,0,2017-10,
104,105703784,0,2017-10,
105,101101544,0,2017-10,
106,65711522,63,2017-11,Paddle
107,76616099,43,2017-11,
108,88868842,12,2017-11,models
109,110688239,10,2017-11,
110,98599362,2,2017-11,
111,89484677,2,2017-11,
112,101101544,1,2017-11,
113,109658668,1,2017-11,
114,103466347,1,2017-11,
115,93210289,0,2017-11,
116,76994289,0,2017-11,
117,103829150,0,2017-11,
118,78517160,0,2017-11,
119,98356563,0,2017-11,
120,105948868,0,2017-11,
121,65711522,75,2017-12,Paddle
122,76616099,28,2017-12,
123,110688239,15,2017-12,
124,88868842,14,2017-12,models
125,89484677,6,2017-12,
126,114885555,4,2017-12,
127,98599362,4,2017-12,
128,88829446,2,2017-12,
129,75261722,2,2017-12,
130,88800008,2,2017-12,
131,103466347,2,2017-12,
132,78517160,1,2017-12,
133,103829150,1,2017-12,
134,105948868,0,2017-12,
135,101101544,0,2017-12,
136,109658668,0,2017-12,
137,114885555,135,2018-01,
138,65711522,83,2018-01,Paddle
139,76616099,33,2018-01,
140,88868842,24,2018-01,models
141,110688239,9,2018-01,
142,89484677,3,2018-01,
143,78517160,1,2018-01,
144,93210289,1,2018-01,
145,98599362,1,2018-01,
146,109658668,0,2018-01,
147,75261722,0,2018-01,
148,103829150,0,2018-01,
149,99488243,0,2018-01,
150,105948868,0,2018-01,
151,103466347,0,2018-01,
152,101101544,0,2018-01,
153,114885555,52,2018-02,
154,65711522,39,2018-02,Paddle
155,88868842,17,2018-02,models
156,76616099,14,2018-02,
157,110688239,4,2018-02,
158,103466347,3,2018-02,
159,88800008,1,2018-02,
160,101101544,1,2018-02,
161,98599362,1,2018-02,
162,89484677,1,2018-02,
163,93210289,1,2018-02,
164,65711522,87,2018-03,Paddle
165,88868842,23,2018-03,models
166,114885555,17,2018-03,
167,76616099,16,2018-03,
168,123634214,10,2018-03,
169,110688239,9,2018-03,
170,89484677,2,2018-03,
171,125206311,1,2018-03,
172,103466347,1,2018-03,
