,repo_id,stars,year_month,community
0,65711522,87,2016-11,Paddle
1,74649018,1,2016-11,
2,74427002,0,2016-11,
3,73922086,0,2016-11,
4,74094673,0,2016-11,
5,74094333,0,2016-11,
6,65711522,170,2016-12,Paddle
7,76616099,3,2016-12,
8,74649018,2,2016-12,
9,75912778,0,2016-12,
10,75804012,0,2016-12,
11,76994289,0,2016-12,
12,73922086,0,2016-12,
13,75261722,0,2016-12,
14,65711522,177,2017-01,Paddle
15,76616099,119,2017-01,
16,76994289,1,2017-01,
17,78274119,0,2017-01,
18,79296035,0,2017-01,
19,78517160,0,2017-01,
20,73922086,0,2017-01,
21,76616099,293,2017-02,
22,65711522,287,2017-02,Paddle
23,75912778,2,2017-02,
24,79296035,0,2017-02,
25,65711522,227,2017-03,Paddle
26,76616099,225,2017-03,
27,78517160,1,2017-03,
28,74427002,1,2017-03,
29,65711522,147,2017-04,Paddle
30,76616099,73,2017-04,
31,88868842,4,2017-04,models
32,79296035,1,2017-04,
33,75261722,1,2017-04,
34,89484677,1,2017-04,
35,78274119,1,2017-04,
36,78517160,1,2017-04,
37,88800008,0,2017-04,
38,88829446,0,2017-04,
39,65711522,146,2017-05,Paddle
40,76616099,50,2017-05,
41,88868842,6,2017-05,models
42,89484677,4,2017-05,
43,78517160,1,2017-05,
44,92895339,0,2017-05,
45,88800008,0,2017-05,
46,91212498,0,2017-05,
47,65711522,131,2017-06,Paddle
48,76616099,32,2017-06,
49,88868842,17,2017-06,models
50,93210289,1,2017-06,
51,79296035,1,2017-06,
52,75912778,0,2017-06,
53,89484677,0,2017-06,
54,65711522,250,2017-07,Paddle
55,76616099,66,2017-07,
56,88868842,15,2017-07,models
57,89484677,3,2017-07,
58,79296035,1,2017-07,
59,78274119,1,2017-07,
60,91212498,1,2017-07,
61,98356563,0,2017-07,
62,98599362,0,2017-07,
63,88829446,0,2017-07,
64,75912778,0,2017-07,
65,93210289,0,2017-07,
66,74427002,0,2017-07,
67,97277251,0,2017-07,
68,65711522,128,2017-08,Paddle
69,76616099,35,2017-08,
70,88868842,18,2017-08,models
71,101101544,16,2017-08,
72,89484677,6,2017-08,
73,98599362,2,2017-08,
74,79296035,0,2017-08,
75,98356563,0,2017-08,
76,74427002,0,2017-08,
77,93210289,0,2017-08,
78,99488243,0,2017-08,
79,100269620,0,2017-08,
80,65711522,226,2017-09,Paddle
81,76616099,63,2017-09,
82,88868842,19,2017-09,models
83,103466347,6,2017-09,
84,101101544,1,2017-09,
85,76994289,1,2017-09,
86,98599362,1,2017-09,
87,98356563,0,2017-09,
88,103457348,0,2017-09,
89,89484677,0,2017-09,
90,103829244,0,2017-09,
91,79296035,0,2017-09,
92,103829150,0,2017-09,
93,65711522,155,2017-10,Paddle
94,76616099,68,2017-10,
95,88868842,17,2017-10,models
96,103829150,6,2017-10,
97,103466347,3,2017-10,
98,93210289,2,2017-10,
99,89484677,2,2017-10,
100,98356563,1,2017-10,
101,98599362,1,2017-10,
102,101101544,1,2017-10,
103,105948868,0,2017-10,
104,88800008,0,2017-10,
105,105703784,0,2017-10,
106,65711522,259,2017-11,Paddle
107,76616099,82,2017-11,
108,110688239,52,2017-11,
109,88868842,27,2017-11,models
110,98599362,6,2017-11,
111,89484677,5,2017-11,
112,101101544,4,2017-11,
113,103466347,4,2017-11,
114,109658668,3,2017-11,
115,93210289,1,2017-11,
116,103829150,1,2017-11,
117,76994289,1,2017-11,
118,78517160,1,2017-11,
119,105948868,1,2017-11,
120,98356563,0,2017-11,
121,65711522,278,2017-12,Paddle
122,76616099,63,2017-12,
123,88868842,28,2017-12,models
124,110688239,27,2017-12,
125,89484677,17,2017-12,
126,98599362,10,2017-12,
127,114885555,6,2017-12,
128,101101544,4,2017-12,
129,105948868,2,2017-12,
130,103829150,2,2017-12,
131,78517160,1,2017-12,
132,103466347,1,2017-12,
133,75261722,0,2017-12,
134,109658668,0,2017-12,
135,88800008,0,2017-12,
136,88829446,0,2017-12,
137,114885555,1060,2018-01,
138,65711522,235,2018-01,Paddle
139,76616099,53,2018-01,
140,110688239,37,2018-01,
141,88868842,35,2018-01,models
142,89484677,14,2018-01,
143,103466347,5,2018-01,
144,98599362,5,2018-01,
145,103829150,2,2018-01,
146,101101544,2,2018-01,
147,99488243,1,2018-01,
148,78517160,0,2018-01,
149,93210289,0,2018-01,
150,109658668,0,2018-01,
151,105948868,0,2018-01,
152,75261722,0,2018-01,
153,114885555,222,2018-02,
154,65711522,124,2018-02,Paddle
155,88868842,27,2018-02,models
156,76616099,22,2018-02,
157,110688239,17,2018-02,
158,89484677,4,2018-02,
159,98599362,3,2018-02,
160,103466347,2,2018-02,
161,101101544,1,2018-02,
162,93210289,0,2018-02,
163,88800008,0,2018-02,
164,65711522,180,2018-03,Paddle
165,114885555,79,2018-03,
166,76616099,31,2018-03,
167,88868842,29,2018-03,models
168,110688239,16,2018-03,
169,123634214,7,2018-03,
170,125206311,4,2018-03,
171,89484677,4,2018-03,
172,98599362,3,2018-03,
173,103466347,2,2018-03,
174,101101544,1,2018-03,
175,103829150,1,2018-03,
176,98356563,1,2018-03,
177,127058653,0,2018-03,
178,105948868,0,2018-03,
179,65711522,199,2018-04,Paddle
180,114885555,144,2018-04,
181,88868842,43,2018-04,models
182,76616099,42,2018-04,
183,104208128,23,2018-04,
184,110688239,22,2018-04,
