,repo_id,stars,forks,year,community
0,75261722,0,3,2016,
1,75912778,0,2,2016,
2,73922086,0,2,2016,
3,74427002,0,1,2016,
4,75804012,0,1,2016,
5,76616099,3,14,2016,
6,74649018,3,0,2016,
7,65711522,257,129,2016,Paddle
8,88829446,0,5,2017,
9,88800008,0,4,2017,
10,98356563,1,6,2017,
11,75261722,1,2,2017,
12,91212498,1,1,2017,
13,74427002,1,0,2017,
14,75912778,2,2,2017,
15,78274119,2,1,2017,
16,79296035,3,9,2017,
17,109658668,3,1,2017,
18,76994289,3,0,2017,
19,105948868,3,0,2017,
20,93210289,4,2,2017,
21,78517160,5,3,2017,
22,114885555,6,4,2017,
23,103829150,9,4,2017,
24,103466347,14,4,2017,
25,98599362,20,12,2017,
26,101101544,26,11,2017,
27,89484677,38,25,2017,
28,110688239,79,25,2017,
29,88868842,151,115,2017,models
30,76616099,1169,492,2017,
31,65711522,2411,778,2017,Paddle
32,161509700,0,2,2018,
33,78517160,0,1,2018,
34,162671000,0,1,2018,
35,88800008,0,1,2018,
36,139537415,1,13,2018,
37,98356563,1,1,2018,
38,75912778,1,1,2018,
39,76994289,1,0,2018,
40,105948868,2,1,2018,
41,99488243,2,1,2018,
42,127693333,3,21,2018,
43,125206311,5,8,2018,
44,137793455,7,4,2018,
45,103829150,7,2,2018,
46,136450404,8,50,2018,
47,93210289,8,5,2018,
48,103466347,14,25,2018,
49,127058653,19,7,2018,
50,101101544,23,11,2018,
51,131044128,27,24,2018,
52,123634214,28,21,2018,
53,98599362,37,10,2018,
54,89484677,39,11,2018,
55,110688239,253,92,2018,
56,133907444,313,121,2018,
57,104208128,377,146,2018,
58,88868842,498,343,2018,models
59,76616099,503,264,2018,
60,65711522,1960,687,2018,Paddle
61,114885555,2080,296,2018,
62,197501786,0,4,2019,
63,189339212,0,3,2019,
64,139537415,0,1,2019,
65,88800008,0,1,2019,
66,92895339,0,1,2019,
67,228297846,1,1,2019,
68,137793455,1,1,2019,
69,78274119,1,0,2019,
70,105948868,1,0,2019,
71,78517160,1,0,2019,
72,227880026,2,3,2019,
73,103829150,2,1,2019,
74,227347371,3,1,2019,
75,93210289,4,3,2019,
76,125206311,5,4,2019,
77,203899406,6,4,2019,
78,75912778,6,3,2019,
79,98599362,7,5,2019,
80,103466347,8,12,2019,
81,224622052,8,2,2019,
82,225549581,9,5,2019,
83,179445887,9,4,2019,
84,89484677,9,4,2019,
85,127693333,10,47,2019,
86,228290594,10,8,2019,PaddleSlim
87,173032424,14,39,2019,
88,203736612,15,4,2019,
89,127058653,25,14,2019,
90,101101544,25,6,2019,
91,203514079,30,16,2019,
92,123634214,31,9,2019,
93,210520127,38,10,2019,
94,210873203,41,14,2019,
95,196743910,42,22,2019,
96,161509700,46,30,2019,
97,136450404,50,141,2019,
98,178685945,53,30,2019,
99,171811851,97,17,2019,
100,217475193,134,50,2019,PaddleDetection
101,133907444,154,30,2019,
102,191286408,154,25,2019,
103,164796418,155,81,2019,
104,204380779,312,100,2019,PaddleSeg
105,162672577,399,147,2019,PaddleHub
106,110688239,416,130,2019,
107,114885555,444,89,2019,
108,131044128,550,187,2019,
109,104208128,780,400,2019,
110,76616099,799,434,2019,
111,65711522,3023,896,2019,Paddle
112,173544440,3033,695,2019,
113,88868842,3417,1545,2019,models
114,189339212,0,1,2020,
115,289874518,1,3,2020,
116,125206311,1,1,2020,
117,88800008,1,0,2020,
118,137793455,1,0,2020,
119,98599362,2,1,2020,
120,321995806,3,16,2020,
121,179445887,3,0,2020,
122,203899406,4,4,2020,
123,75912778,4,4,2020,
124,101101544,4,1,2020,
125,259220361,5,5,2020,
126,244790548,6,13,2020,
127,224622052,6,2,2020,
128,103466347,6,1,2020,
129,240230342,7,13,2020,
130,127693333,8,36,2020,
131,302509341,9,0,2020,
132,233520812,10,13,2020,
133,296268741,10,4,2020,
134,203736612,12,3,2020,
135,123634214,14,4,2020,
136,274012656,19,5,2020,
137,173032424,22,84,2020,
138,89484677,23,9,2020,
139,227880026,27,3,2020,
140,228297846,28,42,2020,
141,136450404,30,143,2020,
142,133907444,37,12,2020,
143,261698998,39,24,2020,
144,171811851,39,5,2020,
145,319575342,42,12,2020,
146,312259012,43,7,2020,
